Rota;Combustivel;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
R4;Gases cidade;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;Gasolina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;GLP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;Lenha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;Oleo combustivel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;Oleo diesel;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035;0.0035
R4;Outras fontes primarias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;Outras fontes secundarias;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;Produtos da cana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R4;Querosene;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
