Year,BOF,EAF,EOF,Total,BOF MC,BOF CC,Total+EOF,Share BOF,Share BOF CC,Share BOF MC,Share EAF
2005,25566.0,6044.0,580.0,31610.0,23817.344560122776,1748.6554398772244,32190.0,0.8087946852261942,0.05531969123306626,0.753474993993128,0.19120531477380576
2006,22821.0,7541.0,539.0,30362.0,21124.120040027847,1696.8799599721544,30901.0,0.7516303273829128,0.05588828008603367,0.6957420472968792,0.24836967261708714
2007,25130.0,8081.0,571.0,33211.0,23211.975175391257,1918.0248246087424,33782.0,0.7566770046069073,0.05775269713675416,0.6989243074701532,0.24332299539309266
2008,25230.999999999996,7933.0,552.0,33164.0,23188.019451145956,2042.9805488540412,33716.0,0.7607948377759015,0.06160235643631773,0.6991924813395838,0.23920516222409843
2009,16662.000000000004,6348.999999999999,495.0,23011.0,15170.870002876045,1491.1299971239573,23506.0,0.7240884794228848,0.06480074734361642,0.6592877320792684,0.27591152057711527
2010,24627.0,7812.0,509.0,32439.0,22591.98645353563,2035.013546464373,32948.0,0.7591787662998243,0.06273354747262162,0.6964452188272027,0.24082123370017572
2011,26446.999999999996,8231.0,542.0,34678.0,24284.461689017757,2162.53831098224,35220.0,0.7626449045504354,0.06236052572184786,0.7002843788285875,0.23735509544956457
2012,25962.0,8094.0,468.0,34056.0,23724.66205665849,2237.337943341512,34524.0,0.7623326286116984,0.06569585222402842,0.69663677638767,0.23766737138830163
2013,25054.999999999996,8570.0,538.0,33625.0,22871.688995763194,2183.311004236803,34163.0,0.7451301115241635,0.0649311822821354,0.6801989292420281,0.2548698884758364
2014,25506.999999999996,7877.0,513.0,33384.0,23314.75523929845,2192.2447607015456,33897.0,0.7640486460579918,0.06566752817821549,0.6983811178797763,0.23595135394200814
2015,26015.0,6720.0,523.0,32735.0,23947.049852528595,2067.9501474714048,33258.0,0.7947151367038339,0.06317244989984434,0.7315426868039895,0.2052848632961662
2016,24330.0,6810.0,502.0,31140.0,22316.128288841945,2013.8717111580565,31642.0,0.7813102119460501,0.06467153857283418,0.716638673373216,0.2186897880539499
2017,26795.0,7495.0,488.0,34290.0,24487.287600155305,2307.7123998446937,34778.0,0.7814231554389035,0.06729986584557286,0.7141232895933306,0.21857684456109652
2018,27076.0,7820.0,511.0,34896.0,24758.08878341593,2317.911216584072,35407.0,0.7759055479138011,0.06642340716941976,0.7094821407443813,0.224094452086199
2019,24764.0,7272.0,533.0,32036.0,22566.524809741248,2197.475190258752,32569.0,0.7730053689599201,0.06859393152262304,0.7044114374372971,0.2269946310400799
2020,26269.574876033057,7805.079669421489,,34074.65454545455,23911.01204166195,2358.5628343711082,,0.7709417814050102,0.06921751271828325,0.701724268686727,0.22905821859498973
2021,27766.735867768595,8346.573223140496,,36113.30909090909,25244.542856007145,2522.1930117614497,,0.7688781938501005,0.06984109391394346,0.699037099936157,0.23112180614989955
2022,29255.482975206614,8896.480661157026,,38151.96363636364,26567.117252776836,2688.3657224297767,,0.7668146062951906,0.07046467510960366,0.696349931185587,0.23318539370480937
2023,30735.816198347107,9454.801983471074,,40190.61818181818,27878.73523197102,2857.0809663760892,,0.7647510187402808,0.07108825630526387,0.693662762435017,0.2352489812597192
2024,32207.735537190078,10021.537190082645,,42229.27272727273,29179.39679358969,3028.338743600387,,0.762687431185371,0.07171183750092408,0.6909755936844468,0.237312568814629
2025,33671.24099173553,10596.686280991735,,44267.92727272727,30469.101937632862,3202.1390541026703,,0.7606238436304612,0.0723354186965843,0.6882884249338769,0.23937615636953882
2026,35126.332561983465,11180.249256198347,,46306.58181818182,31747.85066410053,3378.481897882939,,0.7585602560755513,0.07295899989224451,0.6856012561833068,0.24143974392444864
2027,36573.01024793388,11772.226115702479,,48345.23636363636,33015.64297299269,3557.367274941192,,0.7564966685206416,0.07358258108790472,0.6829140874327368,0.24350333147935846
